0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
-0.16249086,0.10994885,0.06718731,-0.06799954,0.14710233,-0.04239257,0.0070050023,-0.0026972103,-0.034303013,-0.09271187,0.29895204,-0.012112527,-0.02769563,0.016728932,0.0070759533,-0.13092108,-0.057015695,0.006175866,-0.15965615,0.06640511,-0.13136418,-0.11023988,0.12438987,0.019407263,-0.11695815,-9.4208284e-05,-0.059355717,-0.16076595,-0.019109791,-0.005222045,0.043953463,0.14654228,-0.09912327,-0.14820632,-0.06771331,-0.05400756,0.013422798,-0.10098236,-0.117798775,-0.008949627,-0.018301124,-0.020642634,-0.0635018,-0.13884337,-0.013595162,-0.2715019,0.02075875,0.05131231,0.043135475,-0.13729362,0.120469995,-0.04470481,-0.26858336,-0.023422958,0.00819258,0.024700383,-0.1212137,0.12436962,0.013177351,-0.12213307,-0.0028907761,-0.019168012,-0.029808363,-0.16542171,-0.18495792,-0.04502123,-0.13375472,0.17764142,-0.08912755,-0.0176137,0.037704647,0.06799881,-0.05455028,-0.29995397,-0.060316093,-0.09906719,0.007971229,-0.12621176,-0.17935893,-0.037110917,0.06871144,-0.160939,-0.06507731,-0.025213106,-0.15616108,-0.002491222,-0.049831174,-0.11822755,0.11094777,-0.0071747866,0.15833357,-0.10713703,-0.23457335,0.06762821,0.04298352,-0.008000239,-0.088751875,0.06677531,0.104021944,-0.14347927,0.026967416,-0.02939721,-0.0964143,-0.21296577,-0.10281344,-0.012671554,-0.012184828,-0.2403154,0.050572067,-0.14801608,0.06063396,0.085684985,-0.10456078,-0.17700595,0.13207763,0.052066647,0.023013152,0.14170402,0.053325407,-0.03696462,-0.05100907,-0.08890615,0.07117005,0.011305687,0.008324662,0.14115754,0.013049345,-0.0042458926,-0.040353414,0.035792638,-0.002418096,0.02252042,-0.19918157,-0.08546079,0.015547789,0.06798474,-0.14057657,-0.01873213,-0.13766369,-0.06313508,0.120276414,0.41009086,-0.09119214,-0.041975323,0.026570441,0.053764924,-0.035681654,0.03520007,0.09438034,-0.12695359
-0.18603876,-0.078507274,0.08921574,0.0044847005,0.031091468,-0.06407009,-0.04618931,0.0713376,0.09755319,-0.15242104,0.24534711,-0.10328068,-0.04746689,-0.04960608,-0.11245979,0.0513119,-0.19633152,-0.11844781,-0.0019968257,-0.026991885,0.018264372,-0.10493402,0.004124151,-0.09667329,-0.018746171,-0.08491435,-0.024752822,-0.008488549,-0.051176287,-0.107174814,-0.10448966,0.103821844,-0.11575861,-0.23867643,0.0018057944,0.05896753,0.020101944,-0.11805463,-0.06726852,-0.04834438,-0.041917525,0.013024522,-0.019319894,0.033936564,-0.0658628,-0.13513766,0.15042864,0.07569385,0.098538175,-0.02142738,0.093802825,0.076980144,-0.2756646,-0.030853918,0.10108292,0.035702046,-0.1345193,-0.055234205,0.10027298,-0.15674374,-0.011589698,0.0026998252,-0.003728146,-0.1516899,-0.045717575,-0.054389082,-0.04610359,0.115991876,-0.047451142,0.020458719,-0.09073307,0.08203659,-0.0041108946,-0.12189551,0.01851445,-0.15093185,0.02616254,-0.09083743,-0.18486431,0.031713527,0.06318124,-0.021405157,-0.008181563,-0.030808391,-0.15481758,-0.20101924,0.01075521,-0.16424306,0.09518896,0.12983626,0.12542027,-0.13543119,-0.31602907,-0.0183446,-0.076392,0.011657649,-0.057964493,-0.07359259,-0.013356801,-0.0067861867,-0.090376094,-0.12995432,0.010437977,-0.078186296,-0.026391799,-0.13648559,-0.15290245,-0.15984151,-0.09114208,-0.050648227,0.047033105,0.059262495,-0.06552245,-0.1557973,-0.07550509,-0.13011725,0.009866646,-0.03574289,-0.03598151,-0.027638627,-0.14720663,-0.0583618,-0.006695599,0.015767543,-0.01010606,0.0014974728,-0.10556838,-0.13673529,-0.15062948,-0.09063554,0.030095546,-0.02616811,-0.2421409,-0.005104879,-0.019196387,0.016504027,-0.08162413,0.087429896,-0.01861744,-0.0167672,0.086144306,0.47166622,-0.06836304,0.09088212,0.021390103,-0.023751643,0.018840976,-0.09600367,0.061946705,-0.07949276
-0.01602898,0.17665108,0.10845936,-0.14608331,0.115064174,-0.10269897,0.06242794,-0.027838178,0.15374748,-0.032300763,0.01298394,-0.17692044,-0.03453457,-0.13119291,-0.03602177,-0.111471884,-0.16690582,-0.06500841,0.010736217,-0.12368392,0.018698776,0.023753438,0.1904041,-0.008181744,-0.095150754,0.013327958,0.023941668,-0.16899544,-0.08833427,-0.1965096,0.0382685,0.13592437,-0.30520406,-0.23242313,-0.17226839,-0.137349,-0.11833765,0.052467007,-0.12168364,-0.03520379,0.05741735,-0.06915523,-0.032547545,-0.043401495,-0.044368174,-0.06889926,-0.23866387,-0.26168928,0.020025404,0.05017665,0.06312076,-0.018445415,0.007706924,-0.2811465,0.09464982,-0.21736073,-0.25804257,0.11985098,0.23708457,-0.10979582,-0.25556993,-0.51448995,-0.24728571,0.0445115,-0.08038353,-0.116981894,-0.15416816,0.18416195,-0.02612011,-0.16511267,0.006762929,0.068559535,-0.1073366,-0.31812423,-0.011189189,0.021230618,-0.100349076,0.110593654,-0.15753737,0.034831118,0.26609278,-0.2513632,-0.08372866,-0.069037765,-0.1378989,0.014354945,-0.03087192,-0.01403028,-0.034568895,-0.029029222,0.015935905,0.04025543,-0.088054955,-0.039408192,0.054206096,0.09743649,-0.19352718,-0.065289065,-0.07917545,-0.037912365,-0.007032311,0.10047844,-0.12624079,-0.06688529,-0.37334436,-0.03292255,-0.054729007,-0.13324417,0.024441756,-0.0031166116,-0.06289109,0.020134382,-0.10254764,-0.31077203,0.18297589,-0.054913405,-0.06298594,-0.047995303,-0.07341229,-0.06666741,0.024763921,-0.14611778,0.08870606,-0.06593013,0.18910167,-0.035938952,0.07172444,0.20940071,-0.15755548,0.074380174,-0.03667854,0.17914872,0.0618518,-0.26822382,0.14839077,-0.13981712,-0.03669753,-0.07543025,-0.027150104,0.056254253,0.09768371,0.063472025,-0.09398423,0.059031717,-0.039706167,0.033563968,-0.02518609,0.014353534,-0.29364425,-0.07021536
-0.13825014,0.049753487,0.059782974,-0.039955974,0.12177289,-0.16075258,-0.047220256,-0.0022005911,0.15004072,-0.076383255,0.064247414,-0.18795003,0.047643036,-0.16855933,-0.13449076,-0.08059592,-0.13316773,-0.15141483,-0.1833932,-0.010845854,0.007974085,-0.06494405,0.18198451,-0.07454759,-0.18545718,-0.015884155,0.025150757,-0.1225469,0.0024337927,-0.10929108,-0.084057726,0.16469833,-0.09928833,-0.16535738,-0.02757863,-0.07904396,-0.021951864,-0.060833722,-0.12380708,0.011131872,0.041174065,-0.059483465,-0.003363683,-0.07653458,-0.0654047,-0.15743443,-0.06933462,-0.11984973,0.0209383,-0.1323988,0.039430693,-0.15510748,0.01314705,-0.09548032,-0.053374875,0.0028750827,-0.13939288,0.0023836202,0.18166263,-0.11676519,-0.1491714,-0.27973625,-0.10995496,0.006090666,-0.1211591,0.009474617,-0.117101006,0.10975439,-0.038019292,-0.1791423,0.025305927,0.051069986,-0.2062317,-0.15534382,0.024685638,-0.082405895,-0.15513635,-0.044290815,-0.18733549,-0.05768481,0.16607812,-0.029939186,-0.13333432,-0.11372997,-0.20522991,-0.17883976,-0.042828944,-0.086381346,-0.071451694,-0.008230093,-0.05290347,0.0086775785,-0.13935553,-0.13378921,0.08162583,-0.03721511,-0.11021636,-0.069112815,-0.12221873,-0.07606389,0.0049507483,-0.09713104,-0.07608321,-0.21183223,-0.18643174,-0.021894312,-0.05653752,-0.1293929,-0.015251066,-0.13135952,-0.17520095,-0.08620654,-0.065075904,-0.25503737,0.0149045745,-0.08331884,-0.027803358,-0.06627939,-0.1167754,-0.06698213,0.012394649,-0.017586654,-0.08568213,-0.013665812,0.022835506,-0.038063366,-0.08024016,0.060240854,-0.19696273,-0.0024075015,-0.013061163,-0.008500183,-0.086712755,-0.11157683,-0.060921557,0.01049849,-0.08666591,-0.07125282,-0.004694916,-0.15957671,0.084407575,0.2584988,0.015295984,0.013346194,-0.13912348,-0.059171338,0.020888554,-0.056399908,-0.075808965,0.029837558
-0.055404227,0.06568338,-0.048618972,-0.0099955825,-0.023845613,-0.13494463,-0.11888868,0.05872497,0.13218492,-0.10713716,0.02933737,-0.10967455,-0.11931286,-0.18286018,-0.022570446,-0.07413564,-0.16366956,-0.07127714,-0.025453346,0.0104335155,-0.055937514,-0.13765925,0.13263933,-0.14037025,-0.16238005,0.006938153,-0.09224794,0.0030493564,0.023920765,-0.043586344,-0.09317235,0.04287385,-0.1137029,-0.15580209,-0.069796406,-0.05137376,-0.04590725,-0.054396834,-0.13408232,-0.14141968,-0.0057576094,-0.1865135,0.05845702,-0.16056716,-0.08483096,-0.20568284,-0.08982379,-0.0027080092,0.00029803725,-0.06602859,-0.06471304,-0.10524202,-0.07458741,-0.105983235,-0.047125313,0.024699174,-0.16573443,-0.042748433,0.0457504,-0.09842604,-0.11931423,-0.12838668,-0.20109391,-0.07614491,-0.14772397,0.0013514475,-0.09656047,0.11398402,0.018118614,-0.1673356,-0.113755636,0.028704654,-0.042152956,-0.10732675,0.005224632,-0.15124328,-0.02853564,0.0042225337,-0.17348394,-0.08165294,0.047020383,-0.15310523,-0.003931184,0.008781354,-0.10141766,-0.19549868,-0.10553015,-0.19210246,-0.07978171,-0.011158684,0.015371148,-0.13037853,-0.097727515,-0.009245306,0.03566414,-0.010714195,-0.05879512,0.0366153,-0.17629258,-0.17292972,-0.09021672,-0.094007716,-0.09241345,-0.15673053,-0.061940216,0.029147347,-0.11372081,-0.082603425,-0.12020844,-0.020360779,-0.08742901,-0.0748114,-0.09425299,-0.10433174,-0.046069745,-0.055681754,-0.019005405,-0.037309185,-0.11187773,0.037256673,-0.1689854,-0.03391464,-0.07518642,-0.07675889,-0.100070745,0.014794485,-0.04583294,-0.096743055,-0.18902794,-0.026800612,-0.00996552,-0.065412275,-0.11426623,-0.14831704,-0.008684576,-0.07235572,-0.10578029,-0.19154778,-0.049618687,-0.0409766,-0.07214368,0.285659,-0.1488208,-0.11655539,-0.02802308,0.055700023,-0.019481605,-0.12218906,-0.07565014,0.00819469
-0.12833592,-0.06351444,0.015803738,-0.13930747,0.02327284,-0.01954854,-0.081534736,0.1069577,0.117310435,-0.11177518,0.20370534,-0.17264958,-0.034980875,0.010899853,-0.048599806,-0.1290538,-0.19878359,-0.11862183,-0.1881504,-0.032582827,-0.15106508,-0.16316606,0.09844164,-0.07146754,-0.12629785,0.04700854,-0.021107202,-0.11669318,-0.07438399,-0.17457208,-0.07987021,-0.14016485,-0.2637746,-0.23396787,-0.19369392,0.004995185,-0.07668731,-0.10633305,-0.15134792,0.01902665,-0.05056616,-0.10584841,0.03563343,-0.058235906,-0.05029379,-0.10883072,-0.10152489,-0.07243313,0.050999634,-0.06750148,-0.018708339,-0.07503286,-0.07677046,-0.20126553,-0.20779045,-0.17621507,-0.23223738,-0.057908494,0.12945795,-0.2070429,-0.16523427,-0.20702046,-0.10741857,-0.072639175,-0.1638139,-0.17272861,-0.0673694,-0.077807665,-0.072045125,-0.12279885,-0.08397956,0.03457719,-0.264729,-0.1589536,-0.17655726,-0.073608704,-0.117097005,-0.12888375,-0.01607533,-0.068051405,0.1110564,-0.07324266,-0.076992095,0.028808936,-0.09875382,-0.17877968,-0.0894805,-0.099406354,-0.06672206,-0.040722325,-0.10074418,-0.07083702,-0.12828802,-0.09092743,-0.06836214,-0.19076139,-0.022199705,-0.08716242,-0.13709468,-0.013705082,-0.033160903,-0.14705418,0.017598197,-0.19856898,-0.29481235,-0.19018899,-0.22312891,-0.110669985,-0.05203019,-0.108313054,-0.005746324,-0.069914185,-0.20189516,-0.26938424,-0.2464869,-0.07047431,0.030226883,0.023749052,-0.027250413,-0.0516583,-0.03044408,-0.30870566,-0.11312794,-0.1746154,-0.18668969,-0.098942205,-0.09163414,-0.015221972,-0.15160711,-0.08583833,-0.03401265,-0.114632554,-0.112325035,-0.24896972,-0.1597504,-0.18756929,0.028853465,-0.20990673,-0.08227544,-0.09814435,0.08236275,0.38596433,-0.1707055,0.01888788,-0.13481481,-0.010319211,-0.020748807,-0.112098135,-0.114621826,-0.010222421
-0.11298855,-0.0027975906,0.06808922,-0.176703,0.011199533,-0.01102031,0.030700939,0.11763877,0.09055204,-0.143349,0.30591813,-0.12824489,0.02606854,-0.029974576,0.0012252023,-0.10942067,-0.12699828,-0.03459478,-0.071286656,-0.005730969,-0.023624161,-0.19349739,0.17471492,-0.044862162,-0.109481096,-0.074237004,-0.080892816,-0.11082787,0.039274026,-0.047137573,0.044850487,-0.042840995,-0.21337636,-0.24070701,-0.13922432,-0.08397873,-0.059226546,-0.096405365,-0.18841377,-0.008260949,-0.14380011,-0.1024935,-0.050480124,-0.18397601,-0.12353478,-0.22151193,0.107462876,-0.10888925,0.123229474,-0.025947453,-0.12131772,-0.10574827,-0.02027376,-0.24770127,-0.053190768,-0.014241202,-0.08833805,0.09157931,0.034785323,-0.017763963,-0.34549105,-0.09859176,-0.16004357,-0.0575393,-0.20633647,-0.08616265,-0.14609587,-0.018113991,-0.040821083,-0.11553484,-0.008030717,0.06767585,-0.08175378,-0.15661976,-0.02896292,-0.108018555,-0.13429223,-0.10964438,-0.07153519,-0.086978056,-0.021987652,-0.120888375,-0.019912684,0.10497403,-0.085971095,-0.03120159,-0.13625962,-0.26897246,0.010321038,0.1131092,0.050512783,-0.06847871,-0.14002304,-0.07645444,0.03861397,-0.06301029,-0.022107137,-0.012256298,-0.1165756,-0.051592212,-0.108102895,-0.099607326,-0.1432953,-0.14130059,-0.018633474,-0.18927123,-0.12538272,-0.071820855,-0.06781143,-0.07430562,-0.10608094,0.0693719,-0.13960356,-0.056378108,-0.007456841,-0.025545653,-0.028088592,0.09318451,-0.029163413,0.05023657,-0.16620645,-0.0036149954,-0.124871284,-0.018680576,-0.07949557,0.013148183,-0.10120746,-0.0617058,-0.19425853,-0.09788306,-0.011397271,-0.07693412,0.019113922,-0.014761824,-0.20299976,-0.08469065,-0.033470605,-0.08851249,-0.0076273363,-0.1227443,-0.03447393,0.34364992,-0.03142572,-0.05112087,0.0012768919,-0.07361932,-0.03976352,-0.043136124,0.021098431,-0.019720634
-0.14033318,-0.09500665,0.023829343,-0.050980516,0.10525302,0.0076740966,0.03144211,0.09151883,0.10175255,-0.13827126,0.27251294,-0.2311943,-0.10671079,0.0065070624,-0.12889291,-0.06369416,-0.1556948,-0.21232866,-0.10371401,-0.09600671,-0.17768727,-0.19419387,0.018418325,-0.0080285715,-0.08658535,-0.16181996,-0.07462798,-0.16255212,0.048461683,-0.038909394,-0.018462652,0.13954563,-0.067701325,-0.22018614,-0.08603521,0.001232707,-0.10816801,0.004245906,-0.022467446,-0.02709721,-0.0044648033,-0.050496876,-0.024833765,-0.07174559,-0.033698745,-0.05225565,-0.14394051,0.005299323,-0.07006313,-0.18454659,0.028131476,-0.044636283,-0.10832062,-0.14379746,-0.016420623,-0.023708047,-0.2688909,0.088756286,0.041201334,-0.054911923,-0.15361169,-0.23382387,-0.089705735,-0.0319192,-0.19602951,-0.12176413,-0.11716867,0.13577986,-0.16396172,-0.22245687,-0.1105991,0.08146272,-0.20006014,-0.14988674,-0.013186017,-0.06997565,-0.06976141,-0.11950039,-0.008613727,0.018350422,0.23477025,-0.16786256,-0.13862167,-0.1465713,-0.10259696,-0.04038124,-0.22752234,-0.17645751,-0.11144881,0.022584034,0.057430115,-0.03965582,-0.13956542,-0.09751726,0.035037346,-0.028934529,-0.058202423,-0.022425117,-0.06336438,-0.17195402,-0.08940722,-0.06095036,-0.01295556,-0.21078718,-0.08787272,-0.10698185,-0.027418125,-0.15270089,-0.1267086,-0.034325432,-0.023153001,-0.014482782,0.0008257113,-0.123256706,0.06666454,-0.07864257,-0.11866392,0.1039479,-0.13560136,-0.111449085,-0.10766475,0.11234155,-0.038436845,-0.08101705,0.007072341,-0.09303131,-0.1444964,0.058486212,-0.14764963,-0.086497165,-0.091429174,0.0720581,-0.031001136,-0.0059771463,-0.14507447,-0.0033011143,-0.09590355,-0.046009246,-0.05678348,-0.022798216,0.12647754,0.32407105,-0.1126717,-0.12037709,-0.06984798,-0.07202474,0.058570635,-0.14576682,-0.09202764,-0.13058865
-0.10547565,-0.0897751,-0.10339891,-0.045232687,0.18570279,-0.05322184,-0.10059189,-0.05737959,0.039132323,-0.075555086,0.46342477,-0.22548847,-0.07856242,-0.16030362,-0.12591448,7.936775e-05,-0.068158194,-0.17447594,-0.008979958,-0.009776656,-0.17120497,-0.10803999,0.14883326,-0.029969506,-0.10103164,-0.06530823,0.041955803,-0.13465562,0.012966892,-0.03666722,0.063406855,0.028704422,-0.08765615,-0.17287846,-0.18342184,0.05776255,-0.13975152,-0.031341232,-0.16911076,-0.11452861,-0.024688052,-0.16165286,-0.104577325,-0.19150406,-0.026744975,-0.11032321,0.22440842,0.086033314,-0.012200447,0.004588651,0.102332145,-0.042543158,-0.17207557,0.14756468,0.104110174,0.16139781,-0.08003825,0.15510549,-0.16498476,-0.09594987,-0.004649163,-0.15834308,-0.10282006,-0.197662,-0.2225474,-0.12170351,-0.041100547,0.051513694,0.063517734,-0.12351413,-0.1346265,0.04841397,-0.05719394,-0.08729618,0.017151145,-0.11264356,0.02179334,-0.0052806414,-0.02180635,-0.117660254,0.08913512,-0.0842554,0.0009302544,-0.06701187,-0.04824775,-0.13575645,-0.09883325,-0.22293083,0.03029916,-0.02773805,0.12309206,-0.0219895,-0.12749258,-0.005725259,0.009451069,-0.14152741,-0.16375434,0.061884686,-0.08429108,-0.014478521,-0.050520357,-0.0720599,-0.060073603,-0.06155328,-0.03445917,0.029052692,0.12221365,-0.06387941,-0.027047314,-0.08907311,-0.13531077,-0.028806359,-0.14332686,0.010758146,-0.13219231,-0.09825753,0.06556122,0.008233135,0.0044597266,0.11198096,0.0015225944,0.2408701,-0.07714151,-0.12481683,0.100823015,0.03371996,-0.027242333,-0.0143839875,-0.11949204,0.06437456,0.028082913,0.1532847,-0.071739845,0.2456241,-0.124064416,-0.07356411,-0.047130257,-0.0015217977,-0.11675948,-0.07626281,0.14967607,0.37087122,0.006288524,-0.10660004,-0.037675355,-0.003416463,0.032969926,-0.17038868,0.23446693,-0.13075693
-0.010658646,-0.08329608,0.08111474,-0.1504299,-0.067456886,0.012787134,-0.04960227,0.054729614,0.04971325,-0.034481186,0.19271892,-0.16287188,-0.06152907,-0.024488233,0.00028275294,-0.053956892,-0.059645217,-0.2242791,-0.18015154,-0.059859544,-0.09769516,-0.03739024,0.015830863,0.030101644,-0.10164722,0.018635014,0.15560655,0.013171726,0.040337376,-0.042678643,-0.048851017,0.012380878,-0.24651045,-0.17587212,-0.24836367,0.024712704,-0.0039531877,-0.08252775,-0.14374895,-0.058910187,-0.07269648,-0.12909651,0.04145544,-0.15171322,-0.03400925,-0.10096525,-0.029660754,-0.062135424,0.036765136,-0.08580377,-0.034784824,-0.112772055,-0.124937035,-0.31239542,-0.040115092,0.07439281,-0.15514493,0.043134175,-0.04380349,-0.08098299,-0.13892713,-0.16346934,-0.024660615,-0.19818154,-0.11389902,-0.09235425,-0.12316404,0.10182214,-0.071361646,-0.06699928,-0.057637524,0.09556455,-0.017083105,-0.28091842,-0.06477364,-0.13428774,-0.17757806,-0.024404917,-0.027940078,0.038704872,0.050228227,-0.19877191,-0.124475166,-0.063390754,-0.12073611,-0.081520446,-0.18827757,-0.14401634,-0.032245163,-0.08055012,-0.019954752,-0.07223373,0.0070477,-0.024374511,-0.0542501,-0.1355138,-0.1405129,0.04379503,-0.022995008,-0.10421189,-0.013985374,-0.093585745,-0.077531666,-0.21680157,-0.289612,-0.05596701,-0.17889555,-0.15679668,-0.065144084,-0.13982919,-0.20464493,0.016950944,-0.11201697,-0.20591226,-0.2249403,-0.1668103,0.021103553,0.06012359,0.0274344,-0.008412948,-0.028912162,-0.1656048,-0.0062946547,-0.03832143,-0.15069234,-0.10736804,0.043695655,-0.053213254,-0.025177509,-0.09911389,-0.027427685,0.041064687,-0.075621456,-0.03052066,-0.13649952,-0.048779603,0.015839702,-0.19400738,0.0077013904,-0.15172966,-0.03190559,0.2754399,-0.19250622,0.07251591,-0.073802285,-0.07504788,-0.07963672,-0.12766372,0.014783099,-0.039501615
