Date,BZ=F,EURUSD=X,GBPUSD=X,GC=F,HG=F,NG=F,SI=F,USDIDR=X,^GDAXI,^GSPC,^IXIC,^JKSE
2020-08-28,45.04999923706055,1.1819632053375244,1.3199577331542969,1964.5999755859375,2.994999885559082,2.6570000648498535,27.610000610351562,14446.00390625,13033.2001953125,3508.010009765625,11695.6298828125,5346.6591796875
2020-08-31,45.279998779296875,1.1918240785598755,1.3356484174728394,1967.5999755859375,3.0409998893737793,2.630000114440918,28.437000274658203,14618.0,12945.3798828125,3500.31005859375,11775.4599609375,5238.48681640625
2020-09-01,45.58000183105469,1.193901538848877,1.3364516496658325,1968.199951171875,3.009500026702881,2.5269999504089355,28.486000061035156,14599.7001953125,12974.25,3526.64990234375,11939.669921875,5310.67919921875
2020-09-02,44.43000030517578,1.1923214197158813,1.339943766593933,1934.4000244140625,3.003000020980835,2.4860000610351562,27.249000549316406,14818.599609375,13243.4296875,3580.840087890625,12056.4404296875,5311.97021484375
2020-09-03,44.06999969482422,1.184735894203186,1.335131287574768,1927.5999755859375,2.9579999446868896,2.486999988555908,26.735000610351562,14565.1474609375,13057.76953125,3455.06005859375,11458.099609375,5280.81298828125
2020-09-04,42.65999984741211,1.1839784383773804,1.3262248039245605,1923.9000244140625,3.0464999675750732,2.5880000591278076,26.576000213623047,14545.9873046875,12842.66015625,3426.9599609375,11313.1298828125,5239.85107421875
2020-09-07,,1.183445930480957,1.3245735168457031,,,,,14741.0,13100.2802734375,,,5230.19580078125
2020-09-08,39.779998779296875,1.1821727752685547,1.3162224292755127,1933.0,3.012500047683716,2.4000000953674316,26.86400032043457,14795.0,12968.330078125,3331.840087890625,10847.6904296875,5244.07177734375
2020-09-09,40.790000915527344,1.177024483680725,1.2968486547470093,1944.699951171875,3.0399999618530273,2.4059998989105225,26.954999923706055,14915.2001953125,13237.2099609375,3398.9599609375,11141.5595703125,5149.3759765625
2020-09-10,40.060001373291016,1.1806375980377197,1.2999167442321777,1954.199951171875,2.986999988555908,2.322999954223633,27.163000106811523,14874.2001953125,13208.8896484375,3339.18994140625,10919.58984375,4891.4609375
2020-09-11,39.83000183105469,1.1824384927749634,1.2808295488357544,1937.800048828125,3.0339999198913574,2.2690000534057617,26.73900032043457,14857.470703125,13202.83984375,3340.969970703125,10853.5498046875,5016.7119140625
2020-09-14,39.61000061035156,1.1842728853225708,1.2806557416915894,1953.0999755859375,3.066499948501587,2.309999942779541,27.229000091552734,14883.0,13193.66015625,3383.5400390625,11056.650390625,5161.828125
